71.5517	74.1379	66.3793	45.6897	30.6034	27.5862	300	300	300	300	30.1724	27.1552	29.7414	40.9483	53.8793	55.6034	300	300	300	300	300	300	300	56.0345	55.6034	60.7759	62.069	54.7414	43.9655	300	300	300
300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	55.1724	56.0345	57.3276	63.3621	62.931	59.9138	300	300	300	300	300	300	300	300	300	300	300
300	300	300	300	300	300	300	48.7069	43.1034	31.8966	27.5862	33.1897	40.5172	300	300	300	300	300	300	300	300	56.4655	56.0345	53.4483	55.1724	54.3103	54.7414	300	300	300	300	300
56.8966	49.569	28.4483	23.2759	28.0172	34.4828	300	300	300	300	300	32.3276	43.9655	58.6207	59.4828	56.0345	57.3276	300	57.7586	60.7759	57.7586	56.8966	55.1724	55.1724	300	300	300	300	300	300	300	300
300	300	300	27.5862	33.6207	41.8103	53.0172	54.3103	45.6897	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	47.4138	47.8448	51.7241	34.4828	22.4138	16.3793	300	300
300	300	300	300	300	300	300	300	300	300	28.0172	37.069	46.1207	50	51.7241	54.3103	300	300	300	300	300	50	43.1034	46.5517	41.3793	43.1034	46.5517	300	300	300	300	300
300	300	300	300	300	300	300	300	300	300	300	300	300	51.7241	54.7414	54.3103	50.8621	52.1552	53.0172	300	300	300	300	300	300	300	39.2241	23.2759	10.7759	7.32759	1.72414	0.5
300	31.0345	25	27.5862	37.931	47.8448	52.1552	300	300	28.4483	39.6552	55.1724	59.4828	59.4828	60.7759	300	300	300	300	300	44.3966	41.8103	49.1379	47.4138	41.3793	40.5172	300	300	300	300	300	300
300	300	300	300	300	300	300	300	300	300	300	300	300	55.6034	56.4655	53.4483	50.431	51.2931	52.1552	300	300	300	300	300	300	300	28.4483	21.5517	24.569	22.4138	8.62069	7.32759
34.0517	23.2759	25.8621	33.6207	40.0862	43.9655	300	300	34.4828	42.2414	51.7241	53.4483	56.8966	58.1897	300	300	300	300	300	300	300	300	55.6034	47.8448	43.1034	41.3793	26.2931	26.2931	300	300	300	300
